fishid,waterbody,reading,reader,rep,light_type,id,agecap,radcap,rad1,rad2,rad3,rad4,rad5,rad6,rad7,rad8,rad9,rad10,rad11,rad12,rad13,rad14,rad15,rad16,rad17,rad18,rad19,rad20,rad21,rad22,rad23,rad24,date,date2
NAR041321033,NAR,CJF_1,CJF,1,R,R-NAR041321033,8,1.4279352166570813,0.54152781076752,0.6832688868428739,0.8929609830105345,1.0319295395881938,1.1553124193215643,1.256262048194322,1.3584509383682524,1.4279352166570813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
NAR041321034,NAR,CJF_1,CJF,1,R,R-NAR041321034,11,1.3115246380622194,0.4400129612181915,0.6088080420667787,0.725595218762014,0.8095269942028561,0.8739057397063971,0.9597005750810468,1.0268739104853009,1.0951092517466778,1.169464775738041,1.2395631769332256,1.3115246380622194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
NAR041321035,NAR,CJF_1,CJF,1,R,R-NAR041321035,10,1.3562486081230412,0.5923556786855048,0.7352928870814919,0.8340293340931146,0.9144376596073562,0.9930159403823086,1.0631523450378872,1.1347331189521017,1.210422661209782,1.2770603124349924,1.3562486081230412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
NAR041321036,NAR,CJF_1,CJF,1,R,R-NAR041321036,5,0.9629372755563428,0.4248534746563742,0.6349433816054253,0.7436051662115705,0.8531596353210402,0.9629372755563428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
NAR041321037,NAR,CJF_1,CJF,1,R,R-NAR041321037,3,0.813642774861875,0.4811301649949641,0.6893685673082286,0.813642774861875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
NAR041321038,NAR,CJF_1,CJF,1,R,R-NAR041321038,3,0.7439378969549266,0.32906864849026457,0.549329285802804,0.7439378969549266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
NAR041321039,NAR,CJF_1,CJF,1,R,R-NAR041321039,2,0.7077079295177491,0.4947083075443735,0.7077079295177491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
NAR041321040,NAR,CJF_1,CJF,1,R,R-NAR041321040,5,1.0426099467238155,0.45630405759835513,0.6589388935189396,0.7768181359925754,0.9043272029400389,1.0426099467238155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
NAR041321041,NAR,CJF_1,CJF,1,R,R-NAR041321041,5,1.078324814791292,0.4893335291668169,0.6938906096536387,0.8483238374577108,0.9343747221302297,1.078324814791292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
NAR041321042,NAR,CJF_1,CJF,1,R,R-NAR041321042,2,0.7097451147239833,0.5209662889007611,0.7097451147239833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
NAR041321043,NAR,CJF_1,CJF,1,R,R-NAR041321043,5,0.9792573131518912,0.4415291286726075,0.6485829682271373,0.7361568254616411,0.8780929012731401,0.9792573131518912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
NAR041321044,NAR,CJF_1,CJF,1,R,R-NAR041321044,2,0.6872187133307214,0.45260060332002117,0.6872187133307214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
NAR041421001,NAR,CJF_1,CJF,1,R,R-NAR041421001,8,1.0782987283517407,0.3900265188870303,0.5209505583981976,0.628385391857483,0.7278006220500433,0.8354362545280642,0.9027566749997671,0.9876899008468922,1.0782987283517407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041421,2021-04-14
NAR041421002,NAR,CJF_1,CJF,1,R,R-NAR041421002,2,0.794749194942289,0.5403229259761905,0.794749194942289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041421,2021-04-14
NAR041421003,NAR,CJF_1,CJF,1,R,R-NAR041421003,6,1.1353856812173388,0.4337506450115731,0.6776796420467366,0.8195294979673184,0.9236741593287998,1.0010890649561308,1.1353856812173388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041421,2021-04-14
NAR041421004,NAR,CJF_1,CJF,1,R,R-NAR041421004,3,0.8024644710413797,0.37831249301205505,0.6362279670439877,0.8024644710413797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041421,2021-04-14
NAR041421005,NAR,CJF_1,CJF,1,R,R-NAR041421005,10,1.5869094017696888,0.622094317380869,0.706408185706922,0.8118676103487833,0.9595286953098671,1.118183854561879,1.2320836112675844,1.3412077273397547,1.4329404308388192,1.5147005569377887,1.5869094017696888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041421,2021-04-14
NAR041421006,NAR,CJF_1,CJF,1,R,R-NAR041421006,14,1.4901522616166476,0.3031078839443375,0.5321408738731166,0.68760740236668,0.803158991786688,0.8829888699337995,0.9652224282496015,1.0312443579212933,1.089774605807649,1.1588143481847508,1.2314331858257928,1.2947707940495283,1.3436863212611245,1.3941107548254261,1.4901522616166476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041421,2021-04-14
NAR041421007,NAR,CJF_1,CJF,1,R,R-NAR041421007,6,1.1042910251946625,0.4284334327102075,0.6592223566455149,0.8040970051369355,0.9006240790123385,0.9981759018752246,1.1042910251946625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041421,2021-04-14
NAR041421008,NAR,CJF_1,CJF,1,R,R-NAR041421008,4,0.9347819513358524,0.504889554324451,0.6429597307600057,0.7824357101834543,0.9347819513358524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041421,2021-04-14
NAR041421009,NAR,CJF_1,CJF,1,R,R-NAR041421009,3,0.9418169830058138,0.44188295120640614,0.660877138491898,0.9418169830058138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041421,2021-04-14
NAR041421010,NAR,CJF_1,CJF,1,R,R-NAR041421010,8,1.2595826504603564,0.5194022305935101,0.6940079218088292,0.8142150454562018,0.9363040914713573,1.040686383554801,1.1349606837605346,1.1887319438725537,1.2595826504603564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041421,2021-04-14
NAR041421011,NAR,CJF_1,CJF,1,R,R-NAR041421011,2,0.7411906978991176,0.526688912993865,0.7411906978991176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041421,2021-04-14
NAR041421012,NAR,CJF_1,CJF,1,R,R-NAR041421012,2,0.7596767550100267,0.5612442626698942,0.7596767550100267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041421,2021-04-14
