sample id,tissue type,boat weight,tissue + bag + paper,pin + paper,final tissue + boat,final bag,final pin,final paper,notes
JUM090919J083,Muscle,1.32,7.65,0.38,2.25,1.99,0.11,0.14,
JUM090919J084,Muscle,1.3,10.13,0.46,2.71,1.99,0.11,0.18,
JUM090919J085,Muscle,1.3,9.29,0.42,2.89,2.02,0.11,0.18,
JUM090919J086,Muscle,1.31,10.75,0.47,2.58,1.99,0.11,0.18,
JUM090919J087,Muscle,1.31,7.82,0.4,2.31,2.01,0.11,0.16,
JUM090919J088,Muscle,1.3,8.28,0.57,2.39,2,0.11,0.28,
JUM090919J089,Muscle,1.3,9.85,0.58,2.6,2.03,0.12,0.26,
JUM090919J090,Muscle,1.29,10.2,0.58,2.7,1.99,0.11,0.3,
JUM090919J091,Muscle,1.3,10.66,0.62,2.82,2.05,0.11,0.29,
JUM090919J092,Muscle,1.3,14.1,0.49,3.44,2.01,0.11,0.24,
JUM090919J093,Muscle,1.3,10.07,0.49,2.65,2.01,0.11,0.25,
JUM090919J094,Muscle,1.3,10.98,0.47,2.8,2.01,0.11,0.19,
JUM090919J095,Muscle,1.31,21.7,0.4,5.22,2.01,0.11,0.16,
JUM090919J096,Muscle,1.31,14.88,0.38,3.62,2.02,0.11,0.18,
JUM090919J097,Muscle,1.31,9.22,0.35,2.52,2.03,0.11,0.17,
JUM090919J098,Muscle,1.31,32.07,0.42,7.65,2.04,0.11,0.18,
JUM090919J099,Muscle,1.32,32.54,0.44,7.49,2.01,0.11,0.17,
JUM090919J100,Muscle,1.31,43.92,0.45,9.56,2.01,0.11,0.18,
JUM090919J101,Muscle,1.29,8.24,0.25,2.44,2.01,0.11,0.09,
JUM090919J102,Muscle,1.3,9.84,0.27,2.68,2.01,0.11,0.13,
JUM090919J103,Muscle,1.32,8,0.22,2.35,1.98,0.11,0.09,
JUM090919J104,Muscle,1.32,7.5,0.25,2.26,1.99,0.11,0.08,
JUM090919J105,Muscle,1.31,8.82,0.18,2.56,1.99,0.11,0.07,
JUM090919J106,Muscle,1.3,8.28,0.22,2.38,1.97,0.11,0.06,
JUM090919J107,Muscle,1.31,7.3,0.21,2.23,1.98,0.11,0.08,
JUM090919J108,Muscle,1.31,10.51,0.18,2.93,1.99,0.11,0.07,
JUM090919J109,Muscle,1.31,21.38,0.27,4.98,1.99,0.11,0.1,
JUM090919J110,Muscle,1.3,11.42,0.29,2.99,1.99,0.11,0.09,
JUM090919J111,Muscle,1.31,12.22,0.29,3.18,1.99,0.11,0.09,
JUM090919J112,Muscle,1.32,11.07,0.26,2.91,1.98,0.11,0.1,
JUM090919J113,Muscle,1.31,8.62,0.27,2.5,1.98,0.11,0.07,
JUM090919J114,Muscle,1.33,6.67,0.21,2.15,1.98,0.11,0.05,
JUM090919J115,Muscle,1.3,33.66,0.25,7.44,1.99,0.11,0.08,
JUM090919J116,Muscle,1.31,14.47,0.26,3.64,2.01,0.11,0.11,
JUM090919J117,Muscle,1.32,12.12,0.18,3.14,2.02,0.11,0.05,
JUM090919J118,Muscle,1.3,11.56,0.44,2.95,1.98,0.11,0.2,
JUM090919J119,Muscle,1.31,13.39,0.4,3.54,2.03,0.11,0.2,
JUM090919J120,Muscle,1.34,11.69,0.34,3.09,1.99,0.11,0.11,
JUM090919J121,Muscle,1.32,10.98,0.26,2.99,2,0.11,0.09,
JUM090919J122,Muscle,1.3,10.31,0.3,2.83,2.01,0.11,0.12,
JUM090919J123,Muscle,1.3,10.45,0.23,2.81,2.02,0.11,0.08,
JUM090919J124,Muscle,1.3,11.46,0.21,3.08,1.98,0.11,0.08,
JUM090919J125,Muscle,1.31,8.12,0.26,2.41,1.98,0.11,0.1,
JUM090919J126,Muscle,1.31,12.66,0.33,3.18,1.99,0.11,0.13,
JUM090919J127,Muscle,1.29,8.59,0.31,2.48,1.99,0.11,0.12,
JUM090919J128,Muscle,1.32,9.8,0.22,2.78,1.99,0.11,0.07,
JUM092319J001,Muscle,1.32,15.46,0.56,3.97,3.29,0.11,0.27,
JUM092319J002,Muscle,1.31,16.33,0.56,4.09,3.27,0.11,0.27,
JUM092319J003,Muscle,1.32,9.46,0.43,2.53,3.29,0.11,0.24,
JUM092319J004,Muscle,1.3,8.26,0.35,2.31,3.25,0.12,0.18,
JUM092319J005,Muscle,1.29,8.73,0.37,2.34,3.24,0.11,0.19,
JUM092319J006,Muscle,1.32,6.56,0.4,1.93,3.3,0.11,0.18,
JUM092319J007,Muscle,1.31,9.16,0.33,2.49,3.31,0.11,0.17,
JUM092319J008,Muscle,1.3,10.28,0.4,2.71,3.26,0.11,0.19,
JUM092319J009,Muscle,1.32,10.98,0.42,2.86,3.31,0.11,0.19,
JUM092319J010,Muscle,1.32,9.33,0.33,2.52,3.33,0.11,0.17,
JUM092319J011,Muscle,1.33,13.3,0.31,3.37,3.32,0.11,0.13,
JUM092319J012,Muscle,1.33,20.97,0.37,5.17,3.29,0.11,0.17,
JUM092319J013,Muscle,1.33,7.73,0.31,2.2,3.26,0.11,0.18,
JUM092319J014,Muscle,1.3,7.77,0.34,2.15,3.29,0.11,0.19,
JUM092319J015,Muscle,1.31,4.87,0.36,1.89,1.74,0.11,0.19,
JUM092319J016,Muscle,1.33,5.06,0.32,1.96,1.74,0.11,0.17,
JUM092319J017,Muscle,1.31,4.76,0.37,1.86,1.72,0.11,0.19,
JUM092319J018,Muscle,1.31,5.95,0.34,2.11,1.76,0.11,0.18,
JUM092319J019,Muscle,1.32,5.65,0.36,2.02,1.76,0.11,0.16,
JUM092319J020,Muscle,1.32,6.15,0.36,2.16,1.74,0.11,0.17,
JUM092319J021,Muscle,1.33,7.52,0.37,2.48,1.72,0.11,0.17,
JUM092319J022,Muscle,1.33,7.28,0.36,2.41,1.71,0.11,0.18,
JUM092319J023,Muscle,1.33,6.44,0.38,2.21,1.72,0.11,0.19,
JUM092319J024,Muscle,1.32,7.18,0.37,3.39,1.74,0.11,0.19,
JUM092319J025,Muscle,1.32,5.91,0.34,2.07,1.72,0.11,0.17,
JUM092319J026,Muscle,1.33,6.97,0.36,2.33,1.74,0.11,0.18,
JUM092319J027,Muscle,1.32,6.04,0.36,2.06,1.73,0.11,0.19,
JUM092319J028,Muscle,1.33,6.2,0.46,2.16,1.74,0.11,0.25,
JUM092319J029,Muscle,1.32,6.46,0.48,2.17,1.74,0.11,0.26,
JUM092319J030,Muscle,1.3,7.18,0.49,2.27,1.73,0.11,0.27,
JUM092319J031,Muscle,1.32,4.59,0.4,1.84,1.71,0.11,0.23,
JUM092319J032,Muscle,1.34,5.22,0.47,1.98,1.73,0.11,0.27,
JUM092319J033,Muscle,1.31,7.76,0.51,2.43,1.73,0.11,0.29,
JUM092319J034,Muscle,1.33,4.25,0.35,1.78,0.7,0.11,0.16,
JUM092319J035,Muscle,1.33,7.01,0.33,2.33,1.7,0.11,0.18,
