fishid,waterbody,reading,reader,rep,light_type,id,agecap,radcap,rad1,rad2,rad3,rad4,rad5,rad6,rad7,rad8,rad9,rad10,rad11,rad12,rad13,rad14,rad15,rad16,rad17,rad18,rad19,rad20,rad21,rad22,rad23
ANX091818A017,ANX,CJF_1,CJF,1,R,R-ANX091818A017,4,1.0128144502002576,0.3973106868234312,0.63296742412251,0.789563210752458,0.9054104556424777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A017,ANX,LEL_1,LEL,1,R,R-ANX091818A017,3,0.8225332176470133,0.37074613556453095,0.5481062399454643,0.6869200157272775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A017,ANX,LSR_1,LSR,1,R,R-ANX091818A017,4,0.6371871480738086,0.25512343204719534,0.4114983318915657,0.5183090218386311,0.5940623442405952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A017,ANX,MJS_1,MJS,1,R,R-ANX091818A017,4,0.6521839597267662,0.2599656771923742,0.4067020010534125,0.5552586423799915,0.6521839597267662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A017,ANX,NGA_1,NGA,1,R,R-ANX091818A017,3,1.055312949446312,0.6712939763864275,0.8303807495322223,0.95223845647432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A018,ANX,CJF_1,CJF,1,R,R-ANX091818A018,2,0.7097996202990087,0.45985026437095283,0.571861506148724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A018,ANX,LEL_1,LEL,1,R,R-ANX091818A018,1,0.7646338424737789,0.5908790420274285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A018,ANX,LSR_1,LSR,1,R,R-ANX091818A018,3,0.4511986778721547,0.31262829740205467,0.40219207990102146,0.4376796163628765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A018,ANX,MJS_1,MJS,1,R,R-ANX091818A018,2,0.6024575556416137,0.29921074199749453,0.6024575556416137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A018,ANX,NGA_1,NGA,1,R,R-ANX091818A018,2,0.8735295738045548,0.5840884396247245,0.72880900671464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
