fishid,waterbody,reading,reader,rep,light_type,id,agecap,radcap,rad1,rad2,rad3,rad4,rad5,rad6,rad7,rad8,rad9,rad10,rad11,rad12,rad13,rad14,rad15,rad16,rad17,rad18,rad19,rad20,rad21,rad22,rad23,rad24
ANX091818A104,ANX,CJF_1,CJF,1,R,R-ANX091818A104,1,0.6225327936145807,0.4496062760552779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A105,ANX,CJF_1,CJF,1,R,R-ANX091818A105,2,0.9238958601865314,0.5609490577899362,0.7509286900567458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A106,ANX,CJF_1,CJF,1,R,R-ANX091818A106,1,0.5747221216298566,0.3934823922454116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A108,ANX,CJF_1,CJF,1,R,R-ANX091818A108,2,0.7702538973057715,0.44917236192106497,0.6279325240439378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A110,ANX,CJF_1,CJF,1,R,R-ANX091818A110,1,0.5173084486879821,0.3377869585812449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A111,ANX,CJF_1,CJF,1,R,R-ANX091818A111,1,0.7226900635079547,0.4917462728673944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A112,ANX,CJF_1,CJF,1,R,R-ANX091818A112,1,0.6147382777637448,0.4242297144779353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A113,ANX,CJF_1,CJF,1,R,R-ANX091818A113,1,0.6299329194469736,0.4562868587018465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A115,ANX,CJF_1,CJF,1,R,R-ANX091818A115,1,0.6806867779458698,0.4636737832206869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818J001,ANX,CJF_1,CJF,1,R,R-ANX091818J001,1,0.7044679874728751,0.500557274428753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818J002,ANX,CJF_1,CJF,1,R,R-ANX091818J002,0,0.5740556919373581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818J003,ANX,CJF_1,CJF,1,R,R-ANX091818J003,0,0.5482489899213415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818J004,ANX,CJF_1,CJF,1,R,R-ANX091818J004,0,0.5143486993984581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
