fishid,waterbody,reading,reader,rep,light_type,id,agecap,radcap,rad1,rad2,rad3,rad4,rad5,rad6,rad7,rad8,rad9,rad10,rad11,rad12,rad13,rad14,rad15,rad16,rad17,rad18
T053113WAL004,T05,CJF_1,CJF,1,H,HST053113WAL004,0,0.4341046977018483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T053113WAL007,T05,CJF_1,CJF,1,H,HST053113WAL007,0,0.7252415313753574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T053113WAL008,T05,CJF_1,CJF,1,H,HST053113WAL008,1,0.7340836627928157,0.4959772815938826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T053113WAL014,T05,CJF_1,CJF,1,H,HST053113WAL014,11,1.6357487067564573,0.48842024217917346,0.6595527809385083,0.818067720940348,0.9923439167467163,1.0937573830696312,1.1857398782514459,1.255501921257225,1.3283216801713178,1.3663893292906006,1.4552711379947412,1.5787331742162527,NA,NA,NA,NA,NA,NA,NA
T053113WAL015,T05,CJF_1,CJF,1,H,HST053113WAL015,7,1.2409057394775629,0.48393452405122567,0.6731773279078097,0.8259028454508275,0.9340415905117325,1.0658186361751185,1.1476292519106952,1.219957267597931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T053113WAL016,T05,CJF_1,CJF,1,H,HST053113WAL016,12,1.7617380632232544,0.5640104211667648,0.77313437660756,0.9621629311158195,1.0726380297139566,1.196285677667181,1.2775317487765243,1.3483935425196962,1.416467064273951,1.4797328526398716,1.5721320117048883,1.6971259672577237,1.7429889698903287,NA,NA,NA,NA,NA,NA
T100313WAL002,T10,CJF_1,CJF,1,H,HST100313WAL002,7,1.2976221610139338,0.602755106067251,0.7812758702924327,0.8869006875922258,0.9756650620934684,1.071496114061191,1.1345982956545082,1.2210071110002574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T100313WAL003,T10,CJF_1,CJF,1,H,HST100313WAL003,11,1.5852604450574344,0.475594431459526,0.6534195890269437,0.8166353437359517,0.9415148594747712,1.0231227368292752,1.1198627712720937,1.209216614574225,1.258991915062384,1.3244221268687633,1.3921401509787361,1.4828992775476173,NA,NA,NA,NA,NA,NA,NA
T100313WAL004,T10,CJF_1,CJF,1,H,HST100313WAL004,7,1.1951004596839188,0.46758605038921197,0.6442867348302054,0.7612108724908527,0.8650397182327108,0.9468424144938129,1.0390009465202819,1.1173516975262625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T100313WAL006,T10,CJF_1,CJF,1,H,HST100313WAL006,7,1.230085690835242,0.4531225229912578,0.6216893097249901,0.7334073039374644,0.8574284313496552,0.9748030944544784,1.0677694502428703,1.1552770962219194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T110613WAL001,T11,CJF_1,CJF,1,H,HST110613WAL001,8,1.3585286671597967,0.3115408705856937,0.5232020758728895,0.6831657777513312,0.8054798697479912,0.9164802227324643,1.0352834640598039,1.1376997416971868,1.2397254258324575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T110613WAL002,T11,CJF_1,CJF,1,H,HST110613WAL002,7,1.218151297870081,0.5452494524367265,0.6832538455375123,0.7925101077783012,0.8724412717959728,0.9697367078022665,1.0528855240806099,1.106709242135836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T110613WAL003,T11,CJF_1,CJF,1,H,HST110613WAL003,4,1.067303824593972,0.539901786803925,0.6771294850742009,0.8145112067058364,0.9455275363095137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T110613WAL004,T11,CJF_1,CJF,1,H,HST110613WAL004,12,1.4156468522383834,0.4757887832726886,0.7136831749090325,0.8269779770438842,0.901372406225428,0.9644620480403311,1.0198210009582613,1.0864847412428325,1.1356926993921037,1.1741783621323716,1.2392624082886285,1.281322169498564,1.3489831119538125,NA,NA,NA,NA,NA,NA
T110613WAL005,T11,CJF_1,CJF,1,H,HST110613WAL005,15,1.5242241378901475,0.48550186953903957,0.5817624569348031,0.670468018089817,0.7888351831409776,0.9018864134982122,1.000665342974226,1.0658655301670048,1.1372219472936955,1.187870583071827,1.259227000198518,1.2776956900002532,1.3137927743637374,1.3689195932355165,1.425445208414134,1.4797317320459278,NA,NA,NA
T110613WAL006,T11,CJF_1,CJF,1,H,HST110613WAL006,14,1.637483601964709,0.3845769862523583,0.5486829141975906,0.6752171474172048,0.7774393913115994,0.8699927838401423,0.9675204629622025,1.0633849877041102,1.1459898070456203,1.211464345131004,1.2750111835619926,1.3407654434685583,1.414805122182005,1.498793374082485,1.574216485354902,NA,NA,NA,NA
T110613WAL007,T11,CJF_1,CJF,1,H,HST110613WAL007,9,1.3168741458951496,0.5363302777453879,0.7288813993788885,0.7958268669286479,0.8999527811256318,0.975149090383244,1.062738881856598,1.1148190586090527,1.168953335961488,1.2470391617822456,NA,NA,NA,NA,NA,NA,NA,NA,NA
T110613WAL008,T11,CJF_1,CJF,1,H,HST110613WAL008,10,1.4923887133212463,0.4360023379761407,0.628753185453587,0.7632184073433811,0.8868634189241067,0.9923287052768306,1.1055853024415556,1.172817913386452,1.2498611014747283,1.3471032811223842,1.4349666795197287,NA,NA,NA,NA,NA,NA,NA,NA
T110613WAL009,T11,CJF_1,CJF,1,H,HST110613WAL009,4,1.0817920453474061,0.47037784169854113,0.7168681449730754,0.8646176003246845,0.9825122990513052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T110613WAL010,T11,CJF_1,CJF,1,H,HST110613WAL010,10,1.4179542430671774,0.4134538120089807,0.6855342586863702,0.8165994341563083,0.9267156490249431,1.007876811991391,1.0830014013397322,1.1428555095807351,1.224016672547183,1.2769389718597262,1.337151174224871,NA,NA,NA,NA,NA,NA,NA,NA
T110613WAL011,T11,CJF_1,CJF,1,H,HST110613WAL011,4,1.066410057261751,0.45396976350557455,0.6559796609106,0.8175969461583625,0.9481916293122773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T110613WAL012,T11,CJF_1,CJF,1,H,HST110613WAL012,1,0.7341895449905567,0.5178468919195639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T110613WAL014,T11,CJF_1,CJF,1,H,HST110613WAL014,4,1.0572318389489541,0.545478641369638,0.6990419060027859,0.8286977584896335,0.9518082565471335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T110613WAL015,T11,CJF_1,CJF,1,H,HST110613WAL015,9,1.3462083826316977,0.515990024454043,0.6864195252820181,0.781658544283094,0.86922405568214,0.9715908938633125,1.0344063461180655,1.0998454035688434,1.177462182605724,1.2427039320704585,NA,NA,NA,NA,NA,NA,NA,NA,NA
T110613WAL016,T11,CJF_1,CJF,1,H,HST110613WAL016,4,1.0184739669336935,0.4624253396609053,0.6458778492856674,0.7795969699961551,0.8919449151304135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T110613WAL017,T11,CJF_1,CJF,1,H,HST110613WAL017,15,1.7657866564130882,0.48156489160844457,0.6728754902413587,0.7623924841446473,0.8489134061145415,0.9381380769250665,1.0090939930424656,1.0897689326919542,1.1697130646095346,1.2470996092328663,1.3057789145239274,1.361169824788831,1.4045764473201598,1.463255752611221,1.574329896233792,1.6518626024035057,NA,NA,NA
T110613WAL018,T11,CJF_1,CJF,1,H,HST110613WAL018,4,1.1678890409955605,0.5017357478284741,0.7325028758730623,0.8923210732025739,1.0290148521139229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T110613WAL019,T11,CJF_1,CJF,1,H,HST110613WAL019,1,0.7604984634667522,0.5316923118584339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T110613WAL020,T11,CJF_1,CJF,1,H,HST110613WAL020,6,1.1223619155281996,0.40397144954321906,0.6597585160702609,0.745433543341083,0.8484904316494324,0.948171206156059,1.0133882863312553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
